umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,stress,botak_prob
26.0,Laki-laki,Pegawai swasta,Tanjungselor,10363501.214465223,1.0,1,54.04713850950633,175.79030635515412,Pantone,1.0,SMA,1.0,0.6122265439679898
45.0,Laki-laki,PNS,Tanjung Pinang,12117177.477662869,1.0,1,54.54823870089213,167.85593561144924,Moonsilk,1.0,S1,3.0,1.0
21.0,Laki-laki,Pegawai swasta,Banjarmasin,6867877.61087346,1.0,0,45.084455963530836,151.94966730965015,Merpati,1.0,S1,5.0,0.6085975994073671
33.0,Laki-laki,Pegawai swasta,Denpasar,4466445.515080163,1.0,0,49.23934282053893,165.9550757927586,Deadbuoy,1.0,S1,7.0,0.4464081959041162
54.0,Laki-laki,Pegawai swasta,Mamuju,11474564.07920375,1.0,0,69.38197081746176,175.13292264233752,Pantone,1.0,S1,6.0,0.7596910556703091
35.0,,Pegawai swasta,Kupang,12093635.358579295,1.0,0,54.24799178237021,153.99030805803068,Merpati,0.0,SMA,4.0,0.27973918878696835
38.0,Laki-laki,Pengangguran,Banda Aceh,10878145.36878982,1.0,0,53.103793907492744,187.81783806473612,Deadbuoy,0.0,S1,9.0,0.9315654716493652
38.0,Perempuan,Pegawai swasta,Kupang,6786868.150098842,1.0,1,65.39398032905468,169.19265024053436,Shoulder & Head,1.0,SMP,4.0,0.6118498444877633
49.0,Laki-laki,PNS,Makassar,10209359.471629178,1.0,0,,175.4605184285655,Merpati,0.0,S1,5.0,0.6567525719376329
49.0,Laki-laki,Pegawai swasta,Pangkalpinang,7061549.068965421,1.0,0,62.67634594634417,176.5756783218239,Deadbuoy,1.0,S3,4.0,0.6061672658331162
39.0,Laki-laki,PNS,Yogyakarta,9326526.880715072,1.0,1,59.77094012059371,179.20138416017744,Pantone,1.0,S1,10.0,0.912214194928656
52.0,Laki-laki,PNS,Mamuju,10361307.614162907,1.0,1,59.36791338114057,171.5881823233802,Merpati,0.0,SMA,6.0,0.824795167805786
27.0,Laki-laki,PNS,Makassar,9426808.07292251,1.0,0,58.726548327800316,164.28481965960424,Moonsilk,1.0,SMP,1.0,0.5079848128585929
29.0,Laki-laki,Pengangguran,Pontianak,4157454.1244233116,1.0,1,49.14080621061386,162.8656814976341,Moonsilk,0.0,S2,9.0,0.9609726389658779
45.0,Laki-laki,Pegawai swasta,Mataram,6326320.571800433,1.0,1,57.8290886677716,174.30369183713347,Shoulder & Head,1.0,SMA,1.0,0.8244124741267662
25.0,Perempuan,PNS,Manokwari,6384657.009517488,1.0,1,53.58237251685798,166.76985015786246,Merpati,1.0,SMA,7.0,0.8066056731823816
24.0,Laki-laki,Pegawai swasta,Serang,18100469.508258402,1.0,0,47.00327669114197,163.18202467734739,Deadbuoy,0.0,SMA,5.0,0.4223765099785075
35.0,Laki-laki,Pegawai swasta,Bandung,8827766.635613654,1.0,0,44.39559295909892,160.36483399711378,Pantone,0.0,,10.0,0.6150225153945826
50.0,Laki-laki,PNS,Tanjung Pinang,17167729.685584538,1.0,0,48.00951937678133,168.95774727485494,Pantone,0.0,S1,8.0,0.6176199855342457
28.0,Laki-laki,PNS,Palangkaraya,8353226.513691081,1.0,0,79.91451530313417,191.6440866801736,Deadbuoy,0.0,S1,3.0,0.4500254144318081
49.0,Perempuan,,Gorontalo,5307319.545430519,1.0,0,47.6540018832777,170.2330062704531,Shoulder & Head,1.0,SMP,10.0,0.5716467515090513
42.0,Laki-laki,Pegawai swasta,Semarang,13475833.893356089,1.0,1,52.180700585132314,161.2655352379778,Shoulder & Head,0.0,S1,4.0,0.704594518433446
34.0,Perempuan,Pegawai swasta,Surabaya,9880872.229498595,1.0,0,46.114190585981355,164.93377288358306,Pantone,0.0,S1,6.0,0.3380919701219247
42.0,Laki-laki,PNS,Serang,4523667.440353676,1.0,1,59.390167745559864,187.08276376582728,Merpati,0.0,SD,3.0,0.7314192468169858
34.0,Laki-laki,,Makassar,5691835.61415064,1.0,0,72.96872409005374,164.19007249225677,Moonsilk,0.0,S1,2.0,0.3831562842342754
40.0,Perempuan,Pegawai swasta,Jakarta,6822556.511371712,1.0,0,67.93556956802303,175.7560996244204,Moonsilk,1.0,SD,10.0,0.5223013577984315
54.0,Laki-laki,Pegawai swasta,Palu,9970288.90367666,1.0,0,47.56918387071873,160.8625655079013,Shoulder & Head,1.0,S2,3.0,0.6507906748512223
38.0,Laki-laki,Freelance,Tanjung Pinang,7662164.44314005,1.0,0,46.33787190595553,157.93272270470834,Deadbuoy,1.0,SMA,4.0,0.36310237856574906
40.0,Perempuan,Pegawai swasta,Banda Lampung,6290801.288488302,1.0,1,46.01315087191237,151.51969054424302,Merpati,0.0,SMP,1.0,0.4064730583337001
45.0,Perempuan,PNS,Mamuju,13229733.178668952,1.0,0,50.700973722155325,150.40776654472452,Pantone,0.0,S1,3.0,0.508041891054446
25.0,Laki-laki,PNS,Mataram,9459186.06812207,1.0,0,,172.3703924699917,Pantone,0.0,S2,9.0,0.5617302564948546
44.0,Laki-laki,PNS,Jakarta,13562600.51917671,1.0,1,46.337362465458,148.74266835948146,Moonsilk,0.0,S1,6.0,0.8273448505567176
44.0,Laki-laki,PNS,Kendari,6591225.836330838,1.0,0,53.36692719107387,175.15811090799602,Shoulder & Head,1.0,SMP,,0.759404335048997
43.0,Perempuan,PNS,Banjarmasin,5764889.365205493,1.0,0,47.71420146610023,163.25210042524475,Shoulder & Head,0.0,S1,7.0,0.5974484484210496
40.0,Perempuan,Freelance,Tanjung Pinang,12899702.639859851,1.0,0,64.84060600814809,182.34662147358742,Pantone,1.0,SMP,7.0,0.3359706385395897
56.0,Laki-laki,Pegawai swasta,Pekanbaru,6811622.920739809,1.0,0,48.786267999963634,,Merpati,1.0,S2,6.0,0.7133927298524406
43.0,Laki-laki,PNS,Kupang,4159354.1461401926,1.0,,55.96198883572641,173.45956540703216,Deadbuoy,1.0,S2,7.0,0.781154949793383
36.0,Laki-laki,Pegawai swasta,Jayapura,20529524.496636808,1.0,1,57.41173947339837,161.48198224048008,Pantone,1.0,S1,3.0,0.770832413021181
55.0,Laki-laki,Pegawai swasta,Palembang,5952405.173030185,1.0,0,42.32687343102408,154.45918234752585,Merpati,0.0,S1,2.0,0.5641244975624016
26.0,Perempuan,PNS,Palu,7954334.689959596,1.0,1,60.776154346590346,167.76833280197292,Shoulder & Head,1.0,S1,7.0,0.7158325039365347
47.0,Laki-laki,PNS,Yogyakarta,14821027.892396979,1.0,0,53.96310030406501,158.1482231126776,Moonsilk,1.0,S2,10.0,0.738199779269104
55.0,Laki-laki,Pegawai swasta,Denpasar,6711912.081060781,1.0,0,52.15179471615416,176.21997851407093,Deadbuoy,0.0,S1,1.0,0.6248659641066752
19.0,Laki-laki,PNS,Banda Lampung,5756210.824078016,0.0,0,46.93013405473676,151.19460734361508,Pantone,1.0,S1,1.0,0.44391290436259245
30.0,Perempuan,Freelance,Pekanbaru,9907657.487301255,1.0,0,73.17690181970877,190.77739105763357,Deadbuoy,1.0,S1,1.0,0.31151726617082837
54.0,Laki-laki,Pegawai swasta,Jambi,8163643.85400978,1.0,0,63.45567423558282,190.37952164774282,Shoulder & Head,0.0,S1,4.0,0.4558021430103528
39.0,Laki-laki,PNS,Pontianak,7083551.365662957,1.0,0,53.53691706756351,161.4959414314836,Moonsilk,1.0,SMP,8.0,0.6461057145819565
43.0,Perempuan,PNS,Manado,16629901.148527373,1.0,1,47.103342455800366,176.59575117164383,Merpati,1.0,SMP,2.0,0.7000508651413436
47.0,Laki-laki,PNS,Makassar,11251318.071035255,1.0,0,59.85438135054012,163.02490517069964,Shoulder & Head,0.0,S1,4.0,0.5721342744643119
40.0,Laki-laki,Pegawai swasta,Semarang,12052140.050321985,1.0,1,63.15549232230734,162.11519650213776,Deadbuoy,1.0,S1,10.0,0.767627077099116
33.0,Laki-laki,,Bengkulu,5459195.592742195,1.0,0,50.19956133683206,157.26254050814057,Merpati,1.0,SMA,4.0,0.46595622905233464
52.0,Laki-laki,PNS,Bengkulu,18025426.93393746,1.0,0,54.28844094428951,181.5435848294714,Moonsilk,0.0,SMA,9.0,0.8335403333180382
37.0,Laki-laki,Pegawai swasta,Bengkulu,12805715.821483923,1.0,0,48.98024608863397,162.27672565571154,Deadbuoy,1.0,SMA,4.0,0.5299751015419167
49.0,Laki-laki,PNS,Manado,5623732.117777767,1.0,0,43.98074578393688,180.10452197247903,Merpati,0.0,SMA,1.0,0.5318787744402187
47.0,Laki-laki,Pegawai swasta,Bengkulu,5230531.649495021,1.0,0,59.46600848396579,173.31315255784435,Moonsilk,0.0,S1,9.0,0.5617409692719284
42.0,Perempuan,PNS,Tanjung Pinang,7270300.493950615,1.0,0,44.658692122324446,180.93046012854128,Pantone,0.0,SMA,1.0,0.42694624743250104
63.0,Laki-laki,Pegawai swasta,Semarang,9357449.673232162,1.0,0,58.916717380829866,146.3904142455741,Shoulder & Head,0.0,S1,8.0,0.7059122021181453
51.0,Laki-laki,Pegawai swasta,Medan,14343593.48339964,1.0,0,58.09811929439692,168.85129287317892,Moonsilk,1.0,S2,5.0,0.7666666951342591
56.0,Laki-laki,Freelance,Tanjungselor,8032880.778174198,1.0,0,58.07594716877658,162.96694030949638,Pantone,0.0,SMA,3.0,0.48431698936872003
34.0,Perempuan,PNS,Ambon,5252953.787367474,1.0,1,68.96239094983375,185.9828100154927,Moonsilk,1.0,SMP,2.0,0.6089552357273047
39.0,Perempuan,Pegawai swasta,Palu,11161510.531839784,,1,69.19363683906394,172.5991498776135,Moonsilk,1.0,SMP,8.0,0.6532102304576178
44.0,Perempuan,PNS,Mamuju,5328688.903997939,1.0,0,44.02360368760318,157.72910210756135,Deadbuoy,0.0,SMA,8.0,0.5586881284478256
35.0,Perempuan,Freelance,Pontianak,11091975.121392207,1.0,0,47.480585536871565,159.46131503515414,Merpati,1.0,S1,1.0,0.2115638522528661
54.0,Laki-laki,Pegawai swasta,Banda Lampung,4144908.7807777263,1.0,1,56.29823568141546,188.36921047340104,Pantone,0.0,S1,10.0,0.916924854898191
51.0,Perempuan,PNS,Palembang,,1.0,0,48.66468672435202,163.14956989220263,Deadbuoy,1.0,S1,6.0,0.7117234605122029
32.0,Perempuan,Freelance,Jayapura,9937152.87911667,1.0,0,51.5213466833956,159.96641142900427,Moonsilk,1.0,SMA,4.0,0.30092984785864724
39.0,Perempuan,PNS,Pekanbaru,4977624.9210223,1.0,0,53.678509283481375,170.56503212446,Pantone,1.0,S1,1.0,0.43671179538235994
35.0,Perempuan,Freelance,Palangkaraya,,1.0,1,51.170651344109274,155.91471510557585,Merpati,0.0,S1,5.0,0.41866590328608055
37.0,Perempuan,Pegawai swasta,Medan,9552723.741756637,1.0,0,50.013737311228745,162.9396356854993,Pantone,0.0,S1,3.0,0.1669369978928934
35.0,Laki-laki,PNS,Bengkulu,5551985.076696383,1.0,0,56.92918854091403,170.44285801301885,Merpati,0.0,SMA,7.0,0.5014977678949037
30.0,Perempuan,Freelance,Serang,7211729.4970151,1.0,0,53.35139708012851,177.67007247359007,Deadbuoy,1.0,S2,2.0,0.22248700843862615
38.0,Laki-laki,Pegawai swasta,Bandung,10072406.438462483,1.0,0,88.24759992085018,175.55616627755182,Deadbuoy,0.0,S2,9.0,0.4576187040178117
34.0,Laki-laki,PNS,Banda Lampung,15344416.71208033,1.0,0,44.96837124875408,149.49786833503893,Deadbuoy,1.0,S1,6.0,0.6965593362058422
62.0,Laki-laki,Pegawai swasta,Banda Aceh,4426789.40258608,1.0,0,60.167655798147486,166.64144120467557,Shoulder & Head,0.0,SMA,3.0,0.5902493508923409
44.0,Perempuan,Freelance,Jambi,23532384.13529989,1.0,0,55.22972693811636,153.11408210344615,Shoulder & Head,1.0,S1,3.0,0.3892433792750313
18.0,Laki-laki,Pegawai swasta,Ambon,8932664.817616798,0.0,1,57.57831556255421,177.15976854816864,Deadbuoy,0.0,S1,9.0,0.5669736660950662
41.0,Perempuan,Freelance,Manokwari,4452463.1531951465,1.0,0,52.7857438472388,187.35412687820622,Pantone,0.0,S1,8.0,0.2701788696036494
35.0,Laki-laki,PNS,Pontianak,8340826.649468088,1.0,0,52.92483076212352,165.34259516680993,Moonsilk,0.0,S1,8.0,0.5111450915484573
36.0,Perempuan,Pegawai swasta,Banda Lampung,6183770.527241221,1.0,0,55.814651909951024,184.62901693028758,Moonsilk,0.0,S1,8.0,0.3782680747294902
30.0,Laki-laki,PNS,Samarinda,6689356.382651185,1.0,1,53.21102971403904,166.78012613909502,Pantone,1.0,S1,7.0,
29.0,Perempuan,PNS,Tanjung Pinang,14739867.147010658,1.0,0,50.53475458624145,159.78752144385132,Pantone,0.0,SMA,8.0,0.5009705006800197
50.0,Laki-laki,PNS,Ambon,5278767.601537088,1.0,0,57.10432550029863,184.42460268958152,Merpati,0.0,SD,3.0,0.5605322124312175
23.0,Laki-laki,Pegawai swasta,Banda Lampung,10422218.612181447,1.0,1,57.175159347133835,174.7920296971184,Deadbuoy,0.0,S1,4.0,0.5165638291727136
49.0,Laki-laki,Pegawai swasta,Surabaya,6170297.674134018,1.0,1,55.90394695012224,153.65274987036054,Pantone,0.0,S1,5.0,0.6554950867595608
33.0,Perempuan,PNS,Palu,8736950.830848914,1.0,0,56.994327934903694,163.12997052254929,Moonsilk,1.0,SMA,1.0,0.472558805312983
50.0,Laki-laki,PNS,Mataram,10301718.18907157,1.0,0,63.600803886239824,154.92053050192553,Pantone,0.0,S1,5.0,0.6368502903917225
44.0,Laki-laki,,Mataram,12355387.533646831,1.0,0,59.08506284438666,162.14549599840984,Moonsilk,0.0,S1,2.0,0.37300373609310344
43.0,Laki-laki,PNS,Serang,12495788.609591715,1.0,0,72.76233674594712,178.30240074499198,Pantone,1.0,SMA,10.0,0.8903345815190482
35.0,Perempuan,PNS,Manado,5307282.987197,1.0,1,56.992291094786964,177.56150837088606,Merpati,1.0,S1,5.0,0.7172197472236607
22.0,Perempuan,Pegawai swasta,Manado,7673774.603014941,1.0,0,46.24307528066446,170.43776892770597,Merpati,0.0,S1,7.0,0.38355651262528073
37.0,Laki-laki,PNS,Denpasar,10681392.210928772,1.0,0,47.6636290756082,159.3793862869427,Moonsilk,0.0,SMA,3.0,0.5124548234302383
58.0,Laki-laki,Pegawai swasta,Pangkalpinang,14729246.351282079,1.0,0,43.35222495018524,175.608279021903,Moonsilk,1.0,S1,7.0,0.852058159984425
51.0,Laki-laki,PNS,Manokwari,6497805.297587361,1.0,0,55.735650075027,182.09091602313936,Pantone,0.0,SMA,2.0,0.6528746979658923
44.0,Laki-laki,Freelance,Sofifi,11199666.877756597,1.0,0,47.61938332686249,175.8489093549105,,0.0,S1,6.0,0.41414933245204116
50.0,Perempuan,PNS,Medan,7955562.003230565,1.0,0,51.386603150303216,155.71838091610144,Merpati,1.0,SMP,8.0,0.6135846942049119
18.0,Laki-laki,Pegawai swasta,Serang,17677784.969336167,0.0,0,45.791202668230035,163.20163474465716,Shoulder & Head,0.0,SMA,9.0,0.41735179659306637
26.0,Laki-laki,Pegawai swasta,Kendari,4019832.8677920722,1.0,0,59.42345741297953,174.06536428275146,Moonsilk,1.0,S1,4.0,0.41486802579921167
36.0,Perempuan,Pegawai swasta,Pangkalpinang,6081970.552843375,1.0,0,51.72299444841419,177.0805696298161,Deadbuoy,0.0,S1,2.0,0.21869297405094307
33.0,Laki-laki,PNS,Serang,6995538.484507648,1.0,1,44.72973930689736,154.31610405387448,Pantone,0.0,S1,6.0,0.7690246781208246
37.0,Laki-laki,Pegawai swasta,Kupang,3634632.663319696,1.0,0,59.81120376327431,153.1518818196592,Pantone,1.0,SMP,2.0,0.45898358960642394
33.0,Laki-laki,Freelance,Medan,5033800.46747968,1.0,0,69.08443337221216,176.24694755201537,Moonsilk,0.0,SMP,4.0,0.2556283951214718
40.0,Laki-laki,Pegawai swasta,Semarang,12094094.644852128,,1,50.348508317967145,167.56327931622621,Moonsilk,1.0,S1,6.0,0.7799350798128851
17.0,Laki-laki,PNS,Pangkalpinang,8443740.122433504,0.0,0,45.47351392389068,155.9006300940541,Shoulder & Head,,S2,10.0,0.5619741416717279
37.0,Laki-laki,Pengangguran,Banda Aceh,7094839.897517799,1.0,0,63.30714813292069,167.2286561220899,Pantone,1.0,S2,6.0,0.8230714838095602
52.0,Perempuan,PNS,Jakarta,6818362.050909952,1.0,0,,161.6270194899403,Pantone,1.0,SMA,3.0,0.6662259528893936
36.0,Perempuan,PNS,Mataram,8952999.650904581,1.0,1,48.402842371757814,170.01396101788805,Pantone,0.0,S1,4.0,0.618743831587606
21.0,Laki-laki,Pengangguran,Jambi,7225247.031560929,1.0,0,53.542919953897425,171.47451277910864,,0.0,S1,5.0,0.7989278656949245
32.0,Perempuan,PNS,Gorontalo,5860159.692492327,1.0,0,42.419517992117434,170.80896024122916,Merpati,0.0,S3,4.0,0.4332423273249972
49.0,Perempuan,,,8705630.283788312,1.0,0,57.533462784994306,165.67884462383745,Pantone,1.0,SMA,1.0,0.38617092834515426
37.0,Laki-laki,Freelance,Palangkaraya,5564324.498510629,1.0,0,52.01587690806306,163.71573966669195,Deadbuoy,0.0,SMA,6.0,0.3326324122801138
23.0,,Pegawai swasta,Samarinda,11859647.05903763,1.0,1,51.948584489007445,164.33696267037442,Pantone,0.0,S1,8.0,0.7648824160001559
41.0,Perempuan,Pegawai swasta,Samarinda,5372436.282831505,1.0,0,59.836353746070245,177.00922743800353,Deadbuoy,1.0,SMA,5.0,0.5152456671010341
49.0,Laki-laki,PNS,Mamuju,7185928.058692673,1.0,0,52.03892101502098,149.12392962263982,Moonsilk,0.0,S1,8.0,0.6217520423240961
36.0,Laki-laki,Pegawai swasta,Bandung,6802122.788207988,1.0,0,46.772593101550356,142.3268561999927,Shoulder & Head,0.0,S1,7.0,0.4045470690900878
40.0,Laki-laki,Pegawai swasta,Pangkalpinang,8867420.583049722,1.0,1,45.112873806125336,178.98352217802451,Deadbuoy,0.0,SMA,8.0,0.7344186919382362
40.0,Laki-laki,Pegawai swasta,Ambon,14903700.53014912,1.0,0,52.07969602551465,167.2431040571197,Merpati,1.0,SMA,6.0,0.5128355730436105
37.0,Laki-laki,Freelance,Jayapura,3539458.009129108,1.0,0,41.612522718010084,159.4562477572307,Pantone,,S2,4.0,0.24609827719958313
53.0,Laki-laki,Pegawai swasta,Banda Aceh,14960349.540984554,1.0,0,56.71364445323292,168.7179478496621,Pantone,0.0,S1,1.0,0.6316338596954887
56.0,Perempuan,Pegawai swasta,Sofifi,8160158.876287712,1.0,0,46.88337868934173,165.62581550832633,Shoulder & Head,1.0,SMA,4.0,0.5653564828751131
40.0,Laki-laki,PNS,Palu,8116296.527849657,1.0,0,58.41455676385402,159.7845845463297,Pantone,1.0,SMA,6.0,0.5609437124440235
33.0,Laki-laki,Pegawai swasta,Denpasar,9144706.59133045,1.0,1,50.52491858564845,166.2452379875402,Pantone,1.0,S1,4.0,0.7119451583484713
39.0,Laki-laki,PNS,Jayapura,4426912.34415332,1.0,1,70.05648653466903,155.89121061609978,Deadbuoy,1.0,SD,6.0,0.8322698658540743
31.0,Perempuan,Pegawai swasta,Semarang,3058592.6323209577,1.0,0,44.447724463082224,168.06516655465418,Merpati,0.0,S1,6.0,0.3720384274188344
55.0,Laki-laki,PNS,Jakarta,6151818.717733355,1.0,0,,161.40118987382283,Merpati,0.0,S2,2.0,0.6900698987498968
42.0,Laki-laki,Pegawai swasta,Ambon,7352546.672019583,1.0,0,48.693325295008265,146.65121551871036,Deadbuoy,0.0,S1,3.0,0.5004733596876572
46.0,Laki-laki,Pegawai swasta,Serang,3497381.3682856234,1.0,0,51.21548304317678,181.38563739159756,Moonsilk,1.0,,5.0,0.6478716733354453
38.0,Laki-laki,PNS,Mamuju,7487492.5836774185,1.0,0,52.99108875538194,165.1279064770591,Moonsilk,0.0,SMA,1.0,0.41877978829817675
32.0,Laki-laki,PNS,Kendari,9499471.401074566,1.0,0,49.52404368527291,156.92874250171437,Deadbuoy,0.0,S1,2.0,0.42604067530932405
51.0,Laki-laki,Pegawai swasta,Jambi,8517313.3536783,1.0,1,62.12834957626044,153.2082724602433,Pantone,1.0,SMA,1.0,0.8798522886970144
50.0,Laki-laki,,Pangkalpinang,6070670.328200422,1.0,0,58.27062273851925,160.44118488729993,Pantone,1.0,S1,6.0,0.6372172370056952
40.0,Laki-laki,PNS,Jayapura,5352380.535780898,1.0,0,58.78393172270903,167.6288480591048,Moonsilk,1.0,SMP,10.0,0.686089866269194
25.0,Perempuan,Pegawai swasta,Serang,6431255.465054761,1.0,0,84.55628607119705,175.8815050681009,Deadbuoy,0.0,SMA,8.0,0.3755154516858909
17.0,Laki-laki,PNS,Kupang,9300775.302885883,0.0,0,44.84201175999286,157.36639365640724,Shoulder & Head,1.0,S1,4.0,0.4262037819052329
23.0,Laki-laki,PNS,Denpasar,8771300.977175444,1.0,0,62.57303389791875,182.3028653800092,Pantone,0.0,S1,4.0,0.5000955662396968
44.0,Perempuan,Pegawai swasta,Palu,12937849.164131798,1.0,1,58.54503693822697,158.34336433118742,Merpati,1.0,SMA,3.0,0.7026023575427993
36.0,Laki-laki,PNS,Pontianak,9205296.520787286,1.0,0,52.03171687705721,159.57776998082278,Pantone,1.0,S1,8.0,0.6366250315147552
33.0,Laki-laki,Pegawai swasta,Pekanbaru,9796290.900061024,1.0,0,88.61751756975386,192.34774266726552,Shoulder & Head,0.0,S2,7.0,0.5186722573948476
25.0,Laki-laki,Pegawai swasta,Bandung,8330980.630311209,1.0,0,56.07875723567167,159.31920114571236,Shoulder & Head,0.0,S1,2.0,0.3256034118155385
30.0,Perempuan,Pegawai swasta,Yogyakarta,7630873.969832555,1.0,0,67.87734016730649,169.94691149268192,Shoulder & Head,0.0,S1,8.0,0.4041561924507026
54.0,Perempuan,Freelance,Ambon,5462124.302480804,1.0,0,93.50138922409133,201.17987501750636,Moonsilk,1.0,S1,4.0,0.48086923796417325
32.0,Laki-laki,PNS,Tanjungselor,16744332.82830238,1.0,0,47.64328047488616,182.05846362036834,Pantone,1.0,S1,1.0,0.47521434092155723
54.0,Laki-laki,PNS,Mataram,7741196.054828023,1.0,0,48.12265384489524,172.0048607021031,Deadbuoy,1.0,SMA,3.0,0.25218910707242814
49.0,Laki-laki,Pegawai swasta,Banda Lampung,11943290.487728344,1.0,0,50.2389544894514,156.69860583675495,Shoulder & Head,1.0,SMP,5.0,0.30902500844510317
41.0,Perempuan,PNS,Palangkaraya,5294692.632916749,1.0,0,63.964865276087316,167.265405109357,Deadbuoy,0.0,S1,9.0,0.5923475466553413
53.0,Laki-laki,Pegawai swasta,Makassar,13708099.895636875,1.0,0,56.6309979057871,170.3409485125275,Merpati,0.0,S1,3.0,0.5625703721843597
39.0,Laki-laki,PNS,Tanjung Pinang,6381812.7288973825,1.0,0,51.43078984500538,165.3519899788265,Deadbuoy,0.0,S1,1.0,0.4334678354076028
30.0,Laki-laki,Pegawai swasta,Jayapura,8900588.940187622,1.0,0,50.90530877197067,182.36473148391667,Pantone,1.0,S1,4.0,0.5084755381676083
43.0,,Pegawai swasta,Jayapura,5935849.441176789,1.0,0,64.86022136673719,179.55090634120967,Moonsilk,1.0,SMA,6.0,0.6363448309100198
40.0,Laki-laki,Freelance,Banda Lampung,6119382.581900812,1.0,0,78.02565726469864,175.63390840559217,Deadbuoy,1.0,S1,6.0,0.45530282619811263
11.0,Perempuan,PNS,Palu,6188549.084139367,0.0,0,54.22059833020961,168.80102579150676,Moonsilk,0.0,SMA,10.0,0.3740470610953752
35.0,Perempuan,Pegawai swasta,Manokwari,7251102.761267154,1.0,0,75.56713568092349,194.4477731628223,Pantone,1.0,SMA,4.0,0.45806094973153677
37.0,Perempuan,Pegawai swasta,Mamuju,3137546.926312481,1.0,0,46.09751902765015,157.0517181454318,Pantone,0.0,S1,4.0,0.22280882128049034
38.0,Laki-laki,PNS,Semarang,7614162.11081635,1.0,1,47.5672009844387,161.6056622559477,Shoulder & Head,0.0,S1,5.0,0.6995792497229673
42.0,Perempuan,Pegawai swasta,Kendari,8253269.433504882,1.0,0,48.70207131924546,175.5822996340565,Merpati,1.0,S1,4.0,0.5327530481532139
37.0,Laki-laki,Pegawai swasta,Gorontalo,7430916.0103658335,1.0,0,50.8099278869053,153.57925849683082,Shoulder & Head,0.0,S1,7.0,0.4465001844973788
52.0,Laki-laki,Pegawai swasta,Jambi,6260747.971724462,1.0,0,69.93837992484009,172.6379521750416,Deadbuoy,1.0,SMP,5.0,0.72008546781013
31.0,Laki-laki,Pengangguran,Tanjungselor,16559451.184389925,1.0,0,68.6447426398671,160.5897652765832,Moonsilk,1.0,SMP,9.0,0.9829930908372666
47.0,Laki-laki,Pegawai swasta,Jakarta,5509538.16621745,1.0,0,48.99592970767161,156.80974404916628,Shoulder & Head,0.0,S2,7.0,0.5285170074549167
46.0,Laki-laki,Pegawai swasta,Jakarta,3766660.8423333107,1.0,0,52.36700176511775,165.5345788851532,Pantone,0.0,S1,2.0,0.5357950941645846
35.0,Perempuan,PNS,Makassar,13178574.279030113,1.0,1,48.632843190488934,186.4952363633464,Deadbuoy,0.0,SMA,9.0,0.7498881864627037
55.0,Perempuan,Pegawai swasta,Samarinda,6626580.651687008,1.0,0,57.503089042162586,178.6295407944478,Deadbuoy,1.0,S1,10.0,0.6248623870760333
56.0,Laki-laki,Freelance,Kendari,4845642.557430294,1.0,0,67.02207826913924,169.48842435586988,Shoulder & Head,1.0,SMA,2.0,0.5229602075586389
